,,,,,Funnel step: Added to cart,Funnel step: Reached checkout page,Funnel step: purchase (also is considred conversion),
Blog Article,/blogs/articles/how-to-grow-onions,2022-W02,16,17,0,0,0,76.47%
Blog Article,/blogs/academy/how-to-compost-at-home-for-beginners,2022-W02,1,1,0,0,0,0.00%
Blog Article,/blogs/academy/preparing-your-winter-garden-for-spring,2022-W02,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W02,71,81,0,0,0,90.12%
Blog Article,/blogs/articles/gift-ideas-for-gardeners,2022-W02,1,1,0,0,0,0.00%
Collection,/collections/best-sellers,2022-W02,21,26,0,0,0,46.15%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W02,56,56,0,0,0,71.43%
Blog Article,/blogs/articles/is-raised-bed-garden-environmentally-responsive-or-not,2022-W02,1,1,0,0,0,100.00%
Customer Account,/account,2022-W02,29,33,2,0,0,24.24%
Homepage,,2022-W03,36930,39892,1039,497,333,58.03%
Collection,/collections/on-sale,2022-W03,5271,5792,345,154,98,52.21%
Checkout,/checkouts,2022-W03,212,256,6,114,42,48.83%
Collection,/collections/all,2022-W03,3047,3349,165,93,66,41.06%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W03,5827,6599,229,93,62,72.21%
Cart,/cart,2022-W03,548,898,92,66,47,57.46%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W03,4660,5137,141,63,44,72.67%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W03,1539,1936,82,44,32,70.04%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W03,3054,3469,85,38,28,74.11%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W03,3548,3924,106,36,25,72.45%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W03,4207,4369,79,18,9,81.21%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W03,451,570,28,14,11,61.58%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W03,2956,3150,28,14,8,62.44%
Product,/products/worm-farm-worm-composter,2022-W03,1552,1692,31,13,10,77.66%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W03,886,968,24,12,9,63.33%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W03,707,818,23,11,9,69.93%
Collection,/collections/vego-garden-17-standard-kits,2022-W03,363,485,17,9,6,58.56%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W03,732,866,33,8,7,70.44%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W03,1611,1729,24,7,3,78.60%
Custom Page,/pages/happy-customers,2022-W03,85,104,12,7,7,54.81%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W03,487,538,15,7,3,73.23%
Custom Page,/pages/design-galleries,2022-W03,304,396,15,6,5,60.61%
Collection,/collections/special-shapes,2022-W03,1294,1350,14,6,3,69.78%
Custom Page,/pages/new-products,2022-W03,372,518,12,6,4,64.67%
Customer Account,/account,2022-W03,26,30,6,5,3,36.67%
Collection,/collections/extra-tall-32-raised-bed,2022-W03,236,325,12,4,3,60.00%
Custom Page,/pages/track-orders,2022-W03,433,548,5,4,1,62.59%
Product,/products/stainless-steel-gopher-net-staples-kit,2022-W03,94,101,5,4,4,57.43%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W03,59,71,5,4,3,56.34%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W03,200,238,5,3,3,65.55%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W03,530,577,7,3,2,72.62%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W03,168,186,7,3,3,65.05%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W03,133,162,5,3,2,69.14%
Customer Account,/account/login,2022-W03,37,51,2,3,3,39.22%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W03,2285,2433,5,2,0,80.56%
Custom Page,/pages/contact-us,2022-W03,100,124,3,2,2,64.52%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W03,311,357,4,2,2,70.03%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W03,397,436,3,2,2,73.62%
Custom Page,/pages/about-vego,2022-W03,127,135,6,2,2,37.78%
Custom Page,/pages/refund-policy,2022-W03,10,10,1,2,1,50.00%
Collection,/collections/add-ons,2022-W03,21,21,3,2,2,28.57%
App Generated,/apps/faq,2022-W03,135,164,4,2,1,59.15%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W03,38,45,2,2,2,80.00%
Search,/search,2022-W03,18,30,1,1,1,63.33%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W03,58,60,1,1,0,58.33%
Custom Page,/pages/why-we-are-the-best,2022-W03,38,41,1,1,0,56.10%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W03,4,4,1,1,1,50.00%
Blog Article,/blogs/articles/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W03,125,129,1,1,1,68.22%
Custom Page,/pages/new-product-launching,2022-W03,7,7,1,1,1,57.14%
Collection,/collections/herb-kids-gardens,2022-W03,56,73,3,1,1,52.05%
Product,/products/connecting-rod-bag,2022-W03,423,434,5,1,0,67.74%
List of Collections,/collections,2022-W03,96,110,4,1,1,36.36%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W03,1,1,0,0,0,0.00%
Collection,/collections/rolling-bed,2022-W03,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W03,35,36,0,0,0,77.78%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W03,23,28,1,0,0,57.14%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W03,8,8,0,0,0,87.50%
Blog Article,/blogs/articles/how-to-grow-brussel-sprouts,2022-W03,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/difference-between-garden-soil-and-raised-bed-soil,2022-W03,83,88,0,0,0,80.68%
Blog Article,/blogs/academy/best-vegetables-to-grow-in-early-spring,2022-W03,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-get-rid-of-fruit-flies,2022-W03,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W03,5,5,0,0,0,40.00%
Product,/products/vego-garden-gift-card-1,2022-W03,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W03,4,4,0,0,0,100.00%
Custom Page,/pages/assembly,2022-W03,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W03,9,10,0,0,0,80.00%
Blog Index,/blogs/academy,2022-W03,3,4,0,0,0,75.00%
Blog Article,/blogs/articles/how-to-water-succulents,2022-W03,7,10,0,0,0,70.00%
Blog Article,/blogs/articles/raised-garden-bed-buying-guide,2022-W03,3,3,0,0,0,66.67%
Customer Account,/account/orders,2022-W03,4,4,0,0,0,50.00%
Collection,/collections/in-stock-item-list,2022-W03,1,1,0,0,0,100.00%
Checkout,/orders,2022-W03,110,157,1,0,0,82.80%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2022-W03,7,7,0,0,0,85.71%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W03,17,19,0,0,0,84.21%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W03,4,4,0,0,0,100.00%
Custom Page,/pages/kids-program,2022-W03,14,17,0,0,0,64.71%
Product,/products/copy-of-stainless-steel-gopher-net-staples-kit-comparison-purpose,2022-W03,3,3,0,0,0,33.33%
Product,/products/vego-garden-sticker-kit,2022-W03,28,28,0,0,0,57.14%
Checkout,/gift_cards/28622716963/ae8cd62fc39c29c0a70fb1f763c0123b,2022-W03,3,3,0,0,0,66.67%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W03,1,1,0,0,0,100.00%
Custom Page,/pages/refer-and-earn,2022-W03,37,42,0,0,0,59.52%
Customer Account,/account/register,2022-W03,3,3,0,0,0,33.33%
Blog Article,/blogs/articles/vego-garden-special-shapes,2022-W03,3,4,0,0,0,50.00%
Blog Index,/blogs/articles,2022-W03,30,30,0,0,0,43.33%
Custom Page,/pages/our-mission,2022-W03,7,7,0,0,0,57.14%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2022-W03,1,2,0,0,0,100.00%
Blog Article,/blogs/articles/easiest-vegetables-to-grow,2022-W03,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2022-W03,2,2,0,0,0,100.00%
Custom Page,/pages/terms-of-service,2022-W03,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W03,10,10,0,0,0,80.00%
Blog Article,/blogs/articles/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W03,162,168,0,0,0,77.38%
Blog Article,/blogs/articles/preparing-your-winter-garden-for-spring,2022-W03,9,10,0,0,0,90.00%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W03,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W03,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W03,2,2,0,0,0,100.00%
Custom Page,/pages/vego-garden-donation,2022-W03,11,12,0,0,0,58.33%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W03,194,219,1,0,0,78.08%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W03,7,7,0,0,0,71.43%
Customer Account,/account/invalid_token,2022-W03,8,10,0,0,0,80.00%
Collection,/collections/17-tall-diy-components,2022-W03,42,47,2,0,0,48.94%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W03,52,57,1,0,0,56.14%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W03,14,16,0,0,0,100.00%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W03,59,68,0,0,0,95.59%
Collection,/collections/pre-order-items-list,2022-W03,1,1,0,0,0,100.00%
Collection,/collections/best-sellers,2022-W03,11,17,0,0,0,64.71%
Product,/products/garden-bed-cover-systems,2022-W03,1,1,0,0,0,0.00%
Collection,/collections/help-me-choose,2022-W03,3,3,0,0,0,33.33%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W03,45,45,0,0,0,66.67%
Product,/products/garden-arch-trellis,2022-W03,1,1,0,0,0,100.00%
Collection,/collections/small-garden-collection,2022-W03,12,13,0,0,0,84.62%
Homepage,,2022-W04,38389,41614,1185,556,383,50.88%
Collection,/collections/on-sale,2022-W04,6591,7316,420,195,132,52.61%
Cart,/cart,2022-W04,678,958,96,128,91,52.61%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W04,6695,7580,266,117,73,71.41%
Checkout,/checkouts,2022-W04,181,227,5,106,57,47.14%
Collection,/collections/all,2022-W04,2517,2819,172,82,57,47.11%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W04,5272,5742,130,53,35,72.03%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W04,1376,1721,59,45,31,66.12%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W04,4089,4446,115,39,21,74.90%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W04,3212,3592,85,38,30,73.22%
Collection,/collections/vego-garden-17-standard-kits,2022-W04,458,612,20,19,12,59.97%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W04,3063,3207,35,19,14,62.52%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W04,4971,5157,107,16,8,81.75%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W04,925,1039,40,16,14,62.66%
Product,/products/worm-farm-worm-composter,2022-W04,1466,1578,29,13,10,76.30%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W04,632,685,12,12,9,73.43%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W04,639,751,24,12,7,66.71%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W04,805,887,16,11,5,71.48%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W04,497,620,23,8,7,66.13%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W04,446,492,10,8,6,71.75%
Custom Page,/pages/happy-customers,2022-W04,249,298,12,8,2,62.42%
Collection,/collections/garden-beds,2022-W04,185,213,4,7,6,50.23%
Collection,/collections/extra-tall-32-raised-bed,2022-W04,263,318,5,7,4,52.83%
Blog Article,/blogs/articles/preparing-your-winter-garden-for-spring,2022-W04,489,558,7,6,4,71.15%
Product,/products/garden-bed-cover-systems,2022-W04,527,557,20,5,4,69.48%
Collection,/collections/special-shapes,2022-W04,1375,1446,22,5,4,69.57%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W04,1575,1671,26,5,3,78.28%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W04,234,277,8,5,2,65.70%
Custom Page,/pages/about-vego,2022-W04,101,121,5,4,3,44.63%
Custom Page,/pages/design-galleries,2022-W04,332,394,17,4,4,56.85%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W04,2255,2424,4,4,2,81.31%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W04,534,586,7,3,3,72.70%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W04,110,131,3,3,1,70.23%
List of Collections,/collections,2022-W04,76,89,5,3,1,48.31%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W04,80,86,2,3,2,68.60%
Customer Account,/account/login,2022-W04,50,55,4,3,1,30.91%
App Generated,/apps/faq,2022-W04,125,164,2,2,2,61.59%
Collection,/collections/small-garden-collection,2022-W04,56,63,0,2,2,57.14%
Collection,/collections/herb-kids-gardens,2022-W04,29,32,2,2,2,56.25%
Collection,/collections/rolling-beds,2022-W04,37,41,1,2,2,46.34%
Product,/products/dragon-fruit-rolling-planter,2022-W04,103,104,1,2,2,62.50%
Custom Page,/pages/track-orders,2022-W04,579,723,6,2,2,63.07%
Checkout,/orders,2022-W04,168,234,1,1,0,81.20%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W04,131,144,5,1,0,65.28%
Product,/products/connecting-rod-bag,2022-W04,230,241,4,1,1,68.05%
Collection,/collections/help-me-choose,2022-W04,17,19,1,1,0,47.37%
Product,/products/modular-wall-trellis-system,2022-W04,79,83,1,1,0,57.83%
Product,/products/frost-cover,2022-W04,82,93,7,1,1,56.99%
Custom Page,/pages/contact-us,2022-W04,117,134,1,1,0,58.96%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W04,260,296,7,1,1,76.01%
Blog Article,/blogs/articles/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W04,66,73,0,1,0,75.34%
Custom Page,/pages/new-products,2022-W04,246,400,6,1,1,67.75%
Custom Page,/pages/refund-policy,2022-W04,11,13,0,1,1,53.85%
Product,/products/garden-arch-trellis,2022-W04,275,310,11,1,1,69.68%
Customer Account,/account/register,2022-W04,5,7,0,1,0,57.14%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W04,88,89,1,1,0,66.29%
Customer Account,/account,2022-W04,31,34,3,1,1,50.00%
Product,/products/stainless-steel-gopher-net-staples-kit,2022-W04,329,354,6,1,0,80.23%
Product,/products/elevated-rolling-garden-bed-2-x-4,2022-W04,54,61,1,0,0,63.93%
Product,/products/vego-garden-sticker-kit,2022-W04,19,20,1,0,0,75.00%
Blog Article,/blogs/articles/how-to-grow-orchids,2022-W04,1,1,0,0,0,0.00%
Collection,/collections/in-stock-item-list,2022-W04,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W04,6,6,0,0,0,66.67%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W04,6,6,0,0,0,66.67%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W04,6,6,0,0,0,83.33%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W04,6,6,0,0,0,83.33%
Collection,/collections/vego-garden-diy-components,2022-W04,15,16,0,0,0,31.25%
Customer Account,/account/orders,2022-W04,6,8,0,0,0,50.00%
Blog Article,/blogs/articles/vego-garden-special-shapes,2022-W04,2,4,0,0,0,50.00%
Product,/products/elevated-rolling-garden-bed,2022-W04,100,107,3,0,0,58.88%
Custom Page,/pages/terms-of-service,2022-W04,1,1,0,0,0,100.00%
Custom Page,/pages/vego-garden-donation,2022-W04,11,16,0,0,0,75.00%
Blog Article,/blogs/academy/difference-between-garden-soil-and-raised-bed-soil,2022-W04,83,89,0,0,0,78.65%
Blog Article,/blogs/academy/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W04,34,35,0,0,0,80.00%
Product,/products/rolling-planter-twin-pack,2022-W04,1,2,0,0,0,0.00%
Search,/search,2022-W04,13,15,1,0,0,60.00%
Collection,/collections/best-sellers,2022-W04,28,35,1,0,0,57.14%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W04,44,45,0,0,0,64.44%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W04,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/celebrating-easter-by-gardening-some-greens,2022-W04,1,1,0,0,0,0.00%
Custom Page,/pages/refer-and-earn,2022-W04,15,19,0,0,0,47.37%
Custom Page,/pages/our-mission,2022-W04,6,6,0,0,0,33.33%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W04,75,76,1,0,0,63.16%
Custom Page,/pages/kids-program,2022-W04,20,20,1,0,0,60.00%
Blog Article,/blogs/articles/difference-between-garden-soil-and-raised-bed-soil,2022-W04,42,44,0,0,0,75.00%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W04,27,27,1,0,0,55.56%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W04,7,7,0,0,0,100.00%
Customer Account,/account/invalid_token,2022-W04,14,14,1,0,0,57.14%
Blog Article,/blogs/articles/how-to-get-rid-of-fruit-flies,2022-W04,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W04,77,93,0,0,0,82.80%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W04,15,17,0,0,0,64.71%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W04,32,33,0,0,0,78.79%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W04,9,10,0,0,0,90.00%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W04,41,44,0,0,0,59.09%
Blog Index,/blogs/academy,2022-W04,19,21,0,0,0,57.14%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W04,18,23,1,0,0,60.87%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W04,6,6,0,0,0,66.67%
Blog Index,/blogs/articles,2022-W04,35,36,1,0,0,22.22%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2022-W04,8,9,0,0,0,88.89%
Blog Article,/blogs/articles/how-to-water-succulents,2022-W04,30,37,0,0,0,91.89%
Blog Article,/blogs/articles/easiest-vegetables-to-grow,2022-W04,2,5,0,0,0,80.00%
Blog Article,/blogs/articles/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W04,61,67,1,0,0,71.64%
Blog Article,/blogs/articles/everything-you-need-to-know-about-raised-garden-beds,2022-W04,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W04,3,3,0,0,0,33.33%
Collection,/collections/17-tall-diy-components,2022-W04,28,34,1,0,0,73.53%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W04,27,31,2,0,0,67.74%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W04,3,3,0,0,0,66.67%
Product,/products/vego-garden-gift-card-1,2022-W04,4,4,0,0,0,50.00%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2022-W04,18,21,0,0,0,80.95%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W04,40,47,0,0,0,93.62%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2022-W04,1,1,0,0,0,100.00%
Collection,/collections/add-ons,2022-W04,68,79,1,0,0,53.16%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W04,64,77,0,0,0,97.40%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W04,40,47,0,0,0,89.36%
Blog Article,/blogs/articles/gift-ideas-for-gardeners,2022-W04,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W04,12,13,0,0,0,92.31%
Custom Page,/pages/why-we-are-the-best,2022-W04,27,32,1,0,0,34.38%
Blog Article,/blogs/articles/is-raised-bed-garden-environmentally-responsive-or-not,2022-W04,3,4,0,0,0,75.00%
Homepage,,2022-W05,37020,40072,1052,518,384,44.83%
Collection,/collections/on-sale,2022-W05,12389,13209,439,198,119,66.09%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W05,6991,7934,270,133,95,70.46%
Cart,/cart,2022-W05,745,1090,102,129,95,50.46%
Checkout,/checkouts,2022-W05,203,242,9,97,52,44.21%
Collection,/collections/all,2022-W05,2629,2945,164,84,62,53.45%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W05,1428,1759,51,44,39,67.82%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W05,4624,5052,122,42,32,68.23%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W05,4390,4837,90,35,26,74.55%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W05,3104,3443,68,33,25,72.15%
